"MNUMMER","SIG","AUTOR","TITEL","UTITEL","BAND","VERLAG","EJAHR","SZAHL","ISBN","ZWST","STANDORT","ZUDATUM","PREIS","LDATUM","GRUPPE1","GRUPPE2","ZULETZT","LALTER","MCODE","KCODE","LSTAT","LFREQ","SWORT","ETATNR","LFREQ2"
97840989,S/U,"Nöstlinger, Christine",Wir pfeifen auf den Gurkenkönig,"Wolfgang Hogelmann erzählt die Wahrheit, ohne auf die Deutschlehrergliederung zu verzichten; ein Kinderroman",Sonderausg / 142 S  / Ill,Reinbek bei Hamburg : Rowohlt,1992,0,3499207133,,,03/24/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97840997,S/U,"Naumann, Rosa",Der Gehilfe des Mumienmachers,historischer Jugendroman,EUR 9.90 / Orig.-Ausg / 236 S,Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl,2007,0,3499213907,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841004,S/U,"Nöstlinger, Christine",Olfi Obermeier und der Ödipus,eine Familiengeschichte,[Nachdr. / 174 S.  / 20 cm,Zürich: Trans Tech Publications Ltd,2001,174,3789120685,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841020,S/U,"Nöstlinger, Christine / Stemm, Antje von",Wir pfeifen auf den Gurkenkönig,"Wolfgang Hogelmann erzählt die Wahrheit, ohne auf die Deutschlehrergliederung zu verzichten ; ein Kinderroman",42. Aufl / 151 S  / Ill,Reinbek bei Hamburg : Rowohlt,2009,0,3-499-20153-4,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841039,S/U,"Nöstlinger, Christine / Nöstlinger, Christiana",Das Austauschkind,,9. Aufl / 142 S.  / Ill.,Wien : Jugend und Volk,1992,142,3224112107,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841063,S/U,"Morpurgo, Michael / Hergane, Yvonne",Das schlafende Schwert,"Kèonig Artus, Excalibur und ich",kart. : EUR 5.95 / kart. : EUR 5.95 / 111 S,Wèurzburg: Arena,2006,0,3-401-02379-9,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841128,S/U,"Nordin, Karin / Rukschcio, Gertrud / Eriksson, Henry",Irini,bei uns in Griechenland,1. [Aufl. / 63 S.  / zahlr. Ill,Ravensburg : O. Maier,1976,63,3473396427,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841136,S/U,"Zöller, Elisabeth","Ski heil, Chaosfamilie",,"DM 14.80, EUR 7.57, sfr 13.00, S 108.00 / 125 S  / 21 cm",Stuttgart ;Wien ;Bern : Thienemann,2000,0,3-522-17380-5,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841152,S/U,"Oelker, Petra",Der Sommer des Kometen,ein historischer Kriminalroman,"EUR 8.50 / Orig.-Ausg., 10. Aufl. April 2004 / 333 S  / Kt",Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl.,2004,0,3-499-22256-6,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
97841160,S/U,"Bruckner, Karl",Sadako will leben,,,Würzburg: Arena Verlag,,0,,,,04/07/2011,0,11/14/2013,0,,002046,0,1,0,0,0,FALSE,0,1
97841195,S/Märchen,Holle Verlag,Es war einmal Märchen der Völker,,,,,0,,,,04/07/2011,0,12/18/2014,0,,008508,0,1,0,0,0,FALSE,0,3
97841209,S/U,"Noack, Hans-Georg",Trip,,8. [Aufl. / 245 S  / Ill,[Ravensburg] : Ravensburger Buchverl.,2004,0,3-473-58002-3,,,04/07/2011,0,,0,,,0,1,0,0,0,FALSE,0,0
